time;x;y;z;gforce
1,2650;-0,0440;0,3042;1,0207;1,066
1,2760;-0,0440;0,2922;1,0087;1,051
1,2860;-0,0440;0,2962;1,0207;1,064
1,2950;-0,0480;0,2962;1,0127;1,056
1,3050;-0,0480;0,3002;1,0007;1,046
1,3170;-0,0400;0,2922;1,0047;1,047
1,3390;-0,0480;0,3002;1,0127;1,057
1,3400;-0,0440;0,2962;1,0207;1,064
1,3560;-0,0360;0,2882;1,0047;1,046
1,3660;-0,0400;0,3002;1,0247;1,069
1,3760;-0,0440;0,3002;1,0327;1,076
1,3860;-0,0440;0,2962;1,0207;1,064
1,4170;-0,0440;0,2962;1,0167;1,060
1,4180;-0,0520;0,3002;1,0207;1,065
1,4190;-0,0480;0,2922;1,0247;1,067
1,4250;-0,0440;0,2962;1,0167;1,060
1,4450;-0,0480;0,2922;1,0287;1,070
1,4460;-0,0480;0,2962;1,0287;1,072
1,4600;-0,0480;0,2962;1,0327;1,075
1,4690;-0,0480;0,3002;1,0287;1,073
1,4760;-0,0400;0,3002;1,0207;1,065
1,4880;-0,0360;0,2922;1,0167;1,058
1,5020;-0,0400;0,2922;1,0247;1,066
1,5060;-0,0480;0,2922;1,0287;1,070
1,5240;-0,0400;0,2882;1,0207;1,061
1,5550;-0,0440;0,3002;1,0167;1,061
1,5560;-0,0400;0,3002;1,0087;1,053
1,5570;-0,0400;0,2922;1,0167;1,059
1,5670;-0,0400;0,2962;1,0087;1,052
1,5760;-0,0400;0,2882;1,0127;1,054
1,5860;-0,0480;0,2882;1,0087;1,050
1,5950;-0,0440;0,2922;1,0127;1,055
1,6050;-0,0440;0,2922;1,0167;1,059
1,6150;-0,0360;0,3002;1,0167;1,061
1,6300;-0,0360;0,2922;1,0167;1,058
1,6550;-0,0400;0,2962;1,0207;1,064
1,6560;-0,0440;0,2842;1,0247;1,064
1,6580;-0,0480;0,3002;1,0167;1,061
1,6670;-0,0520;0,2922;1,0087;1,051
1,6750;-0,0440;0,2962;1,0207;1,064
1,6850;-0,0440;0,2922;1,0207;1,063
1,6950;-0,0480;0,2962;1,0167;1,060
1,7050;-0,0440;0,2962;1,0087;1,052
1,7150;-0,0280;0,2962;1,0167;1,059
1,7340;-0,0280;0,3002;1,0167;1,060
1,7360;-0,0360;0,2962;1,0167;1,060
1,7450;-0,0320;0,2962;1,0207;1,063
1,7550;-0,0360;0,3002;1,0167;1,061
1,7670;-0,0360;0,2922;1,0087;1,051
1,7750;-0,0480;0,2922;1,0287;1,070
1,7860;-0,0400;0,3002;1,0207;1,065
1,7950;-0,0440;0,3002;1,0247;1,069
1,8050;-0,0400;0,2922;1,0407;1,082
1,8150;-0,0400;0,2882;1,0247;1,065
1,8340;-0,0440;0,2922;1,0407;1,082
1,8370;-0,0360;0,3002;1,0207;1,065
1,8450;-0,0480;0,2882;1,0287;1,069
1,8550;-0,0400;0,2962;1,0327;1,075
1,8650;-0,0400;0,2962;1,0167;1,060
1,8750;-0,0440;0,2882;1,0207;1,062
1,8860;-0,0480;0,2962;1,0247;1,068
1,8950;-0,0360;0,2922;1,0167;1,058
1,9050;-0,0440;0,3042;1,0087;1,054
1,9150;-0,0360;0,3002;1,0127;1,057
1,9420;-0,0480;0,3002;1,0207;1,065
1,9440;-0,0320;0,3002;1,0247;1,068
1,9450;-0,0400;0,3002;1,0047;1,049
1,9560;-0,0400;0,3002;1,0127;1,057
1,9650;-0,0440;0,3002;1,0167;1,061
1,9750;-0,0480;0,2922;1,0207;1,063
1,9860;-0,0440;0,2962;1,0167;1,060
1,9950;-0,0440;0,3002;1,0327;1,076
2,0050;-0,0360;0,2962;1,0167;1,060
2,0150;-0,0360;0,3002;1,0207;1,065
2,0330;-0,0360;0,2922;1,0207;1,062
2,0350;-0,0440;0,2922;1,0207;1,063
2,0450;-0,0320;0,2962;1,0247;1,067
2,0570;-0,0320;0,3002;1,0247;1,068
2,0660;-0,0400;0,2962;1,0207;1,064
2,0760;-0,0360;0,3002;1,0247;1,068
2,0860;-0,0360;0,2922;1,0127;1,055
2,0950;-0,0400;0,2922;1,0167;1,059
2,1050;-0,0320;0,2962;1,0087;1,052
2,1160;-0,0320;0,2922;1,0127;1,054
2,1380;-0,0440;0,2962;1,0127;1,056
2,1400;-0,0440;0,3002;1,0247;1,069
2,1580;-0,0440;0,2842;1,0207;1,060
2,1600;-0,0440;0,2962;1,0247;1,068
2,1710;-0,0320;0,3002;1,0167;1,061
2,1850;-0,0360;0,3002;1,0207;1,065
2,1870;-0,0400;0,3042;1,0207;1,066
2,1970;-0,0360;0,3002;1,0127;1,057
2,2060;-0,0400;0,2922;1,0167;1,059
2,2160;-0,0440;0,2962;1,0167;1,060
2,2400;-0,0480;0,3002;1,0167;1,061
2,2410;-0,0440;0,2882;1,0127;1,054
2,2620;-0,0360;0,2962;1,0047;1,048
2,2640;-0,0400;0,2962;1,0167;1,060
2,2670;-0,0320;0,3002;1,0167;1,061
2,2760;-0,0320;0,2962;1,0207;1,063
2,2880;-0,0360;0,2962;1,0247;1,067
2,2950;-0,0320;0,2922;1,0207;1,062
2,3060;-0,0400;0,2922;1,0287;1,070
2,3160;-0,0400;0,2962;1,0287;1,071
2,3410;-0,0400;0,2882;1,0287;1,069
2,3420;-0,0400;0,2962;1,0287;1,071
2,3600;-0,0400;0,2922;1,0207;1,062
2,3630;-0,0400;0,3002;1,0127;1,057
2,3720;-0,0440;0,2962;1,0127;1,056
2,3750;-0,0480;0,2962;1,0167;1,060
2,3880;-0,0400;0,2962;1,0087;1,052
2,3950;-0,0400;0,3002;1,0007;1,046
2,4120;-0,0360;0,3042;1,0007;1,047
2,4450;-0,0480;0,3002;1,0087;1,054
2,4460;-0,0280;0,3002;1,0167;1,060
2,4470;-0,0240;0,3042;1,0247;1,069
2,4480;-0,0320;0,3042;1,0207;1,066
