time;x;y;z;gforce
1,2640;0,0040;0,1121;1,0647;1,071
1,2730;0,0040;0,1201;1,0647;1,071
1,2830;-0,0000;0,1121;1,0687;1,075
1,2930;-0,0000;0,1161;1,0647;1,071
1,3030;0,0040;0,1201;1,0567;1,064
1,3130;-0,0040;0,1281;1,0487;1,057
1,3250;-0,0160;0,1321;1,0607;1,069
1,3560;-0,0120;0,1281;1,0647;1,072
1,3570;-0,0200;0,1321;1,0567;1,065
1,3590;-0,0160;0,1281;1,0647;1,073
1,3920;-0,0160;0,1321;1,0607;1,069
1,3950;-0,0080;0,1241;1,0647;1,072
1,3960;-0,0080;0,1241;1,0567;1,064
1,3980;-0,0080;0,1201;1,0447;1,052
1,4030;-0,0040;0,1281;1,0527;1,060
1,4130;-0,0000;0,1161;1,0447;1,051
1,4240;-0,0120;0,1201;1,0527;1,060
1,4420;-0,0080;0,1241;1,0607;1,068
1,4440;-0,0000;0,1161;1,0647;1,071
1,4530;-0,0080;0,1041;1,0407;1,046
1,4690;-0,0040;0,1201;1,0487;1,056
1,4850;-0,0120;0,1081;1,0447;1,050
1,4860;-0,0200;0,1241;1,0447;1,052
1,4940;-0,0240;0,1241;1,0487;1,056
1,5030;-0,0160;0,1281;1,0567;1,065
1,5130;-0,0160;0,1161;1,0367;1,043
1,5250;-0,0240;0,1321;1,0287;1,037
1,5450;-0,0280;0,1281;1,0407;1,049
1,5460;-0,0160;0,1121;1,0407;1,047
1,5560;-0,0080;0,1081;1,0407;1,046
1,5750;-0,0120;0,1081;1,0287;1,034
1,5770;-0,0160;0,0961;1,0567;1,061
1,5830;-0,0160;0,0961;1,0247;1,029
1,5930;-0,0160;0,1041;1,0647;1,070
1,6030;-0,0240;0,1041;1,0647;1,070
1,6130;-0,0200;0,1121;1,0607;1,067
1,6230;-0,0200;0,1161;1,0727;1,079
1,6430;-0,0120;0,1161;1,0727;1,079
1,6440;-0,0120;0,1201;1,0887;1,095
1,6530;-0,0200;0,1201;1,0847;1,092
1,6790;-0,0120;0,1161;1,0767;1,083
1,6810;-0,0200;0,1241;1,0767;1,084
1,6830;-0,0120;0,1161;1,0567;1,063
1,6950;-0,0160;0,1241;1,0727;1,080
1,7030;-0,0120;0,1201;1,0647;1,072
1,7130;-0,0120;0,1161;1,0567;1,063
1,7500;-0,0080;0,1161;1,0647;1,071
1,7510;-0,0120;0,1161;1,0647;1,071
1,7530;-0,0160;0,1201;1,0687;1,076
1,7540;-0,0200;0,1241;1,0607;1,068
1,7670;-0,0200;0,1161;1,0527;1,059
1,7840;-0,0120;0,1241;1,0487;1,056
1,7860;-0,0120;0,1201;1,0647;1,072
1,7940;-0,0120;0,1241;1,0527;1,060
1,8030;-0,0120;0,1281;1,0567;1,065
1,8130;-0,0160;0,1241;1,0647;1,072
1,8430;-0,0080;0,1201;1,0487;1,056
1,8440;-0,0160;0,1241;1,0527;1,060
1,8450;-0,0080;0,1121;1,0527;1,059
1,8530;-0,0120;0,1121;1,0527;1,059
1,8760;-0,0040;0,1161;1,0567;1,063
1,8770;-0,0040;0,1161;1,0607;1,067
1,8830;-0,0040;0,1161;1,0567;1,063
1,8940;-0,0040;0,1161;1,0527;1,059
1,9030;0,0040;0,1121;1,0487;1,055
1,9130;-0,0000;0,1241;1,0567;1,064
1,9230;-0,0040;0,1161;1,0527;1,059
1,9490;-0,0040;0,1201;1,0487;1,056
1,9500;-0,0120;0,1121;1,0687;1,075
1,9560;-0,0040;0,1241;1,0607;1,068
1,9700;-0,0120;0,1201;1,0687;1,076
1,9750;-0,0120;0,1201;1,0607;1,068
1,9840;-0,0160;0,1161;1,0607;1,067
1,9940;-0,0160;0,1201;1,0727;1,080
2,0030;-0,0200;0,1161;1,0727;1,079
2,0450;-0,0200;0,1201;1,0607;1,068
2,0460;-0,0200;0,1201;1,0687;1,076
2,0810;-0,0120;0,1201;1,0647;1,072
2,0830;-0,0120;0,1241;1,0527;1,060
2,0840;-0,0120;0,1201;1,0527;1,060
2,0850;-0,0120;0,1121;1,0487;1,055
2,0870;-0,0040;0,1041;1,0567;1,062
2,0930;-0,0080;0,1081;1,0567;1,062
2,1030;-0,0040;0,1121;1,0607;1,067
2,1130;-0,0080;0,1201;1,0607;1,068
2,1230;-0,0040;0,1161;1,0527;1,059
2,1400;-0,0000;0,1121;1,0447;1,051
2,1660;-0,0000;0,1121;1,0567;1,063
2,1670;-0,0040;0,1081;1,0647;1,070
2,1680;-0,0080;0,1161;1,0647;1,071
2,1830;-0,0160;0,1201;1,0607;1,068
2,1850;-0,0080;0,1161;1,0607;1,067
2,1970;-0,0120;0,1241;1,0607;1,068
2,2110;-0,0040;0,1121;1,0527;1,059
2,2260;-0,0040;0,1121;1,0607;1,067
2,2270;-0,0000;0,1121;1,0567;1,063
2,2470;-0,0120;0,1121;1,0607;1,067
2,2480;-0,0040;0,1001;1,0607;1,065
2,2830;-0,0200;0,1081;1,0607;1,066
2,2840;-0,0120;0,1201;1,0527;1,060
2,2850;-0,0200;0,1161;1,0567;1,063
2,2860;-0,0160;0,1121;1,0527;1,059
2,2980;-0,0200;0,1121;1,0647;1,071
2,3130;-0,0080;0,1121;1,0607;1,067
2,3140;-0,0080;0,1161;1,0607;1,067
2,3550;-0,0080;0,1121;1,0647;1,071
2,3590;-0,0080;0,1121;1,0607;1,067
2,3600;0,0040;0,1081;1,0607;1,066
2,3820;-0,0040;0,1161;1,0567;1,063
2,3840;-0,0040;0,1161;1,0727;1,079
2,3850;-0,0080;0,1121;1,0767;1,083
2,3960;-0,0120;0,1121;1,0687;1,075
2,4150;-0,0120;0,1161;1,0567;1,063
2,4260;-0,0080;0,1161;1,0487;1,055
2,4330;-0,0080;0,1161;1,0607;1,067
2,4650;-0,0040;0,1121;1,0487;1,055
2,4670;-0,0040;0,1121;1,0607;1,067
2,4680;-0,0040;0,1081;1,0607;1,066
2,4920;-0,0120;0,1081;1,0647;1,070
2,4940;-0,0080;0,1241;1,0647;1,072
2,4950;-0,0160;0,1161;1,0567;1,063
2,5030;-0,0160;0,1241;1,0527;1,060
2,5130;-0,0120;0,1321;1,0567;1,065
2,5520;-0,0160;0,1201;1,0647;1,072
2,5530;-0,0200;0,1201;1,0527;1,060
2,5540;-0,0120;0,1201;1,0487;1,056
2,5560;-0,0160;0,1161;1,0567;1,063
2,5670;-0,0080;0,1081;1,0567;1,062
2,5730;-0,0040;0,1121;1,0487;1,055
2,5830;-0,0040;0,1041;1,0567;1,062
2,5930;-0,0160;0,1081;1,0607;1,066
2,6030;-0,0160;0,1081;1,0647;1,070
2,6130;-0,0040;0,1201;1,0527;1,060
2,6410;-0,0080;0,1041;1,0607;1,066
2,6420;-0,0040;0,1001;1,0567;1,061
2,6820;-0,0120;0,1121;1,0527;1,059
2,6840;-0,0080;0,1121;1,0447;1,051
2,6850;-0,0040;0,1161;1,0647;1,071
