time;x;y;z;gforce
0,0030;-0,0640;0,1881;1,0327;1,052
0,0090;-0,0560;0,2081;1,0447;1,067
0,0180;-0,0480;0,2041;1,0367;1,058
0,0310;-0,0440;0,1881;1,0287;1,047
0,0470;-0,0360;0,1561;1,0367;1,049
0,0500;-0,0520;0,1561;1,0367;1,050
0,1100;-0,0440;0,1761;1,0407;1,056
0,1110;-0,0360;0,1801;1,0407;1,057
0,1120;-0,0360;0,1761;1,0487;1,064
0,1130;-0,0400;0,1721;1,0487;1,063
0,1140;-0,0320;0,1721;1,0647;1,079
0,1150;-0,0400;0,1761;1,0567;1,072
0,1270;-0,0360;0,1721;1,0447;1,059
0,1320;-0,0320;0,1801;1,0607;1,076
0,1380;-0,0360;0,1801;1,0687;1,084
0,1480;-0,0400;0,1841;1,0527;1,069
0,1670;-0,0320;0,1561;1,0447;1,057
0,1690;-0,0200;0,1561;1,0407;1,053
0,2170;-0,0280;0,1641;1,0567;1,070
0,2180;-0,0280;0,1561;1,0487;1,061
0,2190;-0,0200;0,1641;1,0687;1,081
0,2200;-0,0200;0,1601;1,0647;1,077
0,2210;-0,0040;0,1481;1,0527;1,063
0,2280;-0,0120;0,1441;1,0567;1,067
0,2450;-0,0200;0,1361;1,0727;1,082
0,2480;-0,0360;0,1441;1,0847;1,095
0,2590;-0,0320;0,1321;1,0767;1,085
0,3020;-0,0240;0,1401;1,0767;1,086
0,3030;-0,0240;0,1361;1,0767;1,086
0,3040;-0,0120;0,1481;1,0807;1,091
0,3050;-0,0080;0,1561;1,0567;1,068
0,3160;-0,0040;0,1521;1,0607;1,072
0,3190;0,0040;0,1561;1,0607;1,072
0,3280;0,0040;0,1601;1,0327;1,045
0,3640;0,0040;0,1601;1,0487;1,061
0,3740;-0,0040;0,1601;1,0367;1,049
0,3750;0,0040;0,1401;1,0487;1,058
0,3760;0,0040;0,1441;1,0527;1,063
0,4070;0,0160;0,1481;1,0727;1,083
0,4080;0,0120;0,1321;1,0727;1,081
0,4090;0,0240;0,1201;1,0727;1,080
0,4100;0,0040;0,1161;1,0727;1,079
0,4220;-0,0040;0,1161;1,0567;1,063
