time;x;y;z;gforce
0,0060;-0,0080;0,1801;1,0367;1,052
0,0070;0,0040;0,1921;1,0087;1,027
0,0410;-0,0120;0,1921;1,0247;1,043
0,0460;-0,0280;0,1841;1,0407;1,057
0,0470;-0,0240;0,1841;1,0407;1,057
0,0520;-0,0280;0,1961;1,0567;1,075
0,0660;-0,0080;0,1921;1,0647;1,082
0,0670;-0,0120;0,1841;1,0607;1,077
0,0840;0,0080;0,1761;1,0287;1,044
0,0870;0,0080;0,1641;1,0207;1,034
0,0960;-0,0000;0,1641;1,0527;1,065
0,1350;0,0080;0,1521;1,0407;1,052
0,1530;-0,0000;0,1601;1,0647;1,077
0,1580;0,0040;0,1441;1,0567;1,067
0,1590;0,0080;0,1481;1,0647;1,075
0,1600;0,0120;0,1561;1,0567;1,068
0,1610;0,0120;0,1481;1,0527;1,063
0,1720;0,0120;0,1721;1,0487;1,063
0,1820;0,0080;0,1681;1,0567;1,070
0,1880;0,0080;0,1641;1,0567;1,069
0,1970;-0,0000;0,1641;1,0647;1,077
0,2060;0,0080;0,1761;1,0567;1,071
0,2160;-0,0000;0,1681;1,0487;1,062
0,2380;0,0040;0,1761;1,0447;1,059
0,2390;0,0040;0,1681;1,0487;1,062
0,2880;-0,0040;0,1801;1,0607;1,076
0,2890;-0,0040;0,1721;1,0567;1,071
0,2900;-0,0000;0,1721;1,0527;1,067
0,2910;0,0040;0,1641;1,0527;1,065
0,2920;-0,0080;0,1641;1,0527;1,065
0,2970;-0,0000;0,1601;1,0687;1,081
0,3070;-0,0040;0,1601;1,0527;1,065
0,3160;-0,0120;0,1601;1,0487;1,061
0,3360;-0,0080;0,1601;1,0607;1,073
0,3380;-0,0040;0,1561;1,0447;1,056
0,3730;-0,0000;0,1641;1,0447;1,058
0,3770;-0,0000;0,1641;1,0407;1,054
0,3780;0,0040;0,1601;1,0407;1,053
0,3790;0,0040;0,1561;1,0447;1,056
0,3880;-0,0080;0,1561;1,0447;1,056
0,4060;-0,0080;0,1641;1,0407;1,054
0,4070;-0,0080;0,1601;1,0327;1,045
0,4390;-0,0040;0,1721;1,0407;1,055
0,4410;-0,0000;0,1601;1,0327;1,045
0,4420;-0,0000;0,1641;1,0447;1,058
0,4490;0,0040;0,1561;1,0527;1,064
0,4560;0,0040;0,1681;1,0567;1,070
0,4660;0,0040;0,1561;1,0447;1,056
0,4760;0,0080;0,1601;1,0527;1,065
0,4880;0,0040;0,1601;1,0567;1,069
0,4960;0,0040;0,1641;1,0447;1,058
0,5290;0,0040;0,1681;1,0487;1,062
0,5320;0,0120;0,1641;1,0447;1,058
0,5370;0,0040;0,1681;1,0487;1,062
0,5380;-0,0000;0,1601;1,0447;1,057
0,5570;0,0040;0,1641;1,0527;1,065
0,5600;0,0080;0,1641;1,0487;1,062
0,5660;0,0120;0,1601;1,0567;1,069
0,5760;0,0120;0,1521;1,0607;1,072
0,5860;0,0160;0,1521;1,0567;1,068
0,5960;0,0080;0,1561;1,0447;1,056
0,6220;0,0080;0,1601;1,0567;1,069
0,6240;0,0120;0,1641;1,0487;1,062
0,6290;-0,0000;0,1561;1,0487;1,060
0,6570;0,0040;0,1641;1,0407;1,054
0,6590;0,0040;0,1721;1,0327;1,047
0,6600;0,0080;0,1601;1,0447;1,057
0,6700;0,0080;0,1641;1,0487;1,062
0,6760;0,0040;0,1641;1,0607;1,073
0,6900;-0,0000;0,1641;1,0487;1,061
0,6960;-0,0000;0,1601;1,0527;1,065
0,7060;-0,0000;0,1641;1,0487;1,061
0,7160;-0,0080;0,1481;1,0687;1,079
0,7460;-0,0120;0,1641;1,0607;1,073
0,7480;-0,0000;0,1561;1,0687;1,080
0,7490;-0,0080;0,1601;1,0647;1,077
0,7610;-0,0040;0,1601;1,0527;1,065
0,7710;-0,0080;0,1681;1,0487;1,062
0,7760;-0,0040;0,1721;1,0567;1,071
0,7870;0,0120;0,1761;1,0367;1,052
0,7960;-0,0000;0,1681;1,0447;1,058
0,8260;-0,0000;0,1561;1,0367;1,048
0,8270;0,0040;0,1721;1,0407;1,055
0,8280;-0,0000;0,1641;1,0447;1,058
0,8370;0,0120;0,1601;1,0367;1,049
0,8550;0,0120;0,1561;1,0447;1,056
0,8570;0,0160;0,1561;1,0407;1,052
0,8660;0,0080;0,1521;1,0487;1,060
0,8760;0,0200;0,1521;1,0487;1,060
0,8860;0,0200;0,1521;1,0607;1,072
0,8960;0,0160;0,1481;1,0487;1,059
0,9590;0,0120;0,1441;1,0527;1,063
0,9600;0,0120;0,1561;1,0567;1,068
0,9650;0,0080;0,1521;1,0647;1,076
0,9660;0,0120;0,1561;1,0447;1,056
0,9670;0,0160;0,1481;1,0527;1,063
0,9680;0,0120;0,1561;1,0487;1,060
0,9750;0,0120;0,1481;1,0607;1,071
0,9770;0,0120;0,1641;1,0407;1,054
0,9880;0,0160;0,1561;1,0447;1,056
0,9960;0,0160;0,1601;1,0447;1,057
1,0070;0,0080;0,1641;1,0487;1,062
1,0180;0,0080;0,1681;1,0447;1,058
1,0260;-0,0000;0,1721;1,0567;1,071
1,0360;0,0080;0,1761;1,0527;1,067
1,0520;0,0040;0,1681;1,0607;1,074
1,0630;-0,0040;0,1601;1,0527;1,065
1,0940;-0,0000;0,1681;1,0567;1,070
1,0960;-0,0040;0,1721;1,0527;1,067
1,0970;-0,0040;0,1601;1,0607;1,073
1,0980;0,0080;0,1641;1,0567;1,069
1,1060;0,0040;0,1641;1,0527;1,065
1,1160;0,0080;0,1601;1,0527;1,065
1,1400;0,0080;0,1601;1,0607;1,073
1,1410;0,0160;0,1561;1,0487;1,060
1,1700;0,0120;0,1561;1,0487;1,060
1,1710;0,0160;0,1521;1,0527;1,064
1,1730;0,0160;0,1481;1,0607;1,071
1,1760;0,0200;0,1641;1,0607;1,074
1,1870;0,0120;0,1561;1,0567;1,068
1,1960;0,0120;0,1681;1,0487;1,062
1,2250;0,0120;0,1601;1,0367;1,049
1,2260;0,0120;0,1601;1,0407;1,053
1,2320;-0,0040;0,1681;1,0287;1,042
1,2370;-0,0000;0,1641;1,0407;1,054
1,2490;-0,0000;0,1681;1,0527;1,066
1,2580;-0,0000;0,1641;1,0567;1,069
1,2660;-0,0040;0,1641;1,0527;1,065
1,2760;0,0120;0,1601;1,0527;1,065
1,2860;0,0080;0,1641;1,0447;1,058
1,2960;-0,0080;0,1641;1,0447;1,058
1,3300;0,0040;0,1641;1,0487;1,061
1,3310;-0,0000;0,1681;1,0447;1,058
1,3320;0,0040;0,1641;1,0487;1,061
1,3550;0,0120;0,1681;1,0247;1,038
1,3570;0,0080;0,1561;1,0407;1,052
1,3580;0,0160;0,1561;1,0487;1,060
1,3660;0,0040;0,1721;1,0487;1,063
1,3760;0,0120;0,1681;1,0367;1,050
1,3860;0,0120;0,1721;1,0247;1,039
1,3960;0,0160;0,1601;1,0407;1,053
1,4240;0,0120;0,1601;1,0727;1,085
1,4270;0,0120;0,1521;1,0647;1,076
1,4280;0,0240;0,1681;1,0127;1,027
1,4640;0,0120;0,1601;1,0487;1,061
1,4670;0,0040;0,1561;1,0607;1,072
1,4680;0,0120;0,1561;1,0407;1,052
1,4690;-0,0000;0,1561;1,0687;1,080
1,4760;0,0200;0,1521;1,0527;1,064
1,4860;0,0120;0,1521;1,0567;1,068
1,4960;0,0120;0,1521;1,0447;1,056
1,5160;0,0120;0,1561;1,0327;1,045
1,5180;0,0040;0,1521;1,0487;1,060
1,5260;-0,0000;0,1641;1,0327;1,046
1,5470;-0,0040;0,1601;1,0407;1,053
1,5500;-0,0000;0,1561;1,0407;1,052
1,5600;0,0040;0,1561;1,0407;1,052
1,5660;0,0040;0,1561;1,0447;1,056
1,5760;-0,0000;0,1641;1,0567;1,069
1,5890;-0,0040;0,1601;1,0527;1,065
1,5960;-0,0000;0,1521;1,0567;1,068
1,6060;0,0040;0,1601;1,0687;1,081
1,6160;0,0040;0,1561;1,0647;1,076
1,6360;0,0080;0,1641;1,0727;1,085
1,6380;0,0120;0,1601;1,0647;1,077
1,6460;0,0080;0,1641;1,0567;1,069
1,6890;0,0120;0,1641;1,0567;1,069
1,7150;0,0080;0,1681;1,0607;1,074
1,7160;0,0120;0,1601;1,0687;1,081
1,7170;0,0120;0,1641;1,0607;1,073
1,7220;0,0080;0,1761;1,0607;1,075
1,7250;0,0080;0,1681;1,0447;1,058
1,7260;0,0040;0,1601;1,0367;1,049
1,7270;0,0040;0,1641;1,0447;1,058
1,7490;0,0080;0,1681;1,0487;1,062
1,7510;0,0160;0,1601;1,0487;1,061
1,7620;0,0200;0,1641;1,0527;1,066
1,7950;0,0080;0,1521;1,0527;1,064
1,7970;0,0040;0,1601;1,0407;1,053
1,7980;-0,0040;0,1601;1,0487;1,061
1,7990;-0,0080;0,1601;1,0447;1,057
1,8060;-0,0000;0,1681;1,0447;1,058
1,8160;-0,0040;0,1561;1,0527;1,064
1,8340;-0,0040;0,1601;1,0447;1,057
1,8400;0,0040;0,1561;1,0407;1,052
1,8660;-0,0000;0,1641;1,0447;1,058
