time;x;y;z;gforce
0,0060;-0,0961;0,4763;0,9406;1,059
0,0220;-0,1041;0,4683;0,9206;1,038
0,0240;-0,0921;0,4563;0,9366;1,046
0,0290;-0,1001;0,4683;0,9446;1,059
0,0570;-0,0921;0,4763;0,9607;1,076
0,0590;-0,0921;0,4683;0,9406;1,055
0,0600;-0,0881;0,4683;0,9406;1,054
0,0840;-0,0921;0,4603;0,9366;1,048
0,0850;-0,1001;0,4763;0,9566;1,073
0,1010;-0,1001;0,4683;0,9446;1,059
0,1020;-0,0841;0,4643;0,9446;1,056
0,1190;-0,0801;0,4763;0,9526;1,068
0,1220;-0,0801;0,4603;0,9406;1,050
0,1640;-0,0841;0,4643;0,9526;1,063
0,1660;-0,0801;0,4643;0,9526;1,063
0,1670;-0,0761;0,4643;0,9566;1,066
0,1850;-0,0801;0,4723;0,9446;1,059
0,1940;-0,0801;0,4683;0,9607;1,072
0,1950;-0,0841;0,4643;0,9526;1,063
0,1970;-0,0841;0,4643;0,9607;1,070
0,2240;-0,0881;0,4643;0,9607;1,071
0,2260;-0,0921;0,4643;0,9647;1,075
0,2360;-0,0881;0,4723;0,9526;1,067
0,2380;-0,0881;0,4603;0,9526;1,062
0,2390;-0,0841;0,4563;0,9406;1,049
0,2500;-0,0841;0,4603;0,9366;1,047
0,2610;-0,0761;0,4643;0,9366;1,048
0,2700;-0,0841;0,4643;0,9366;1,049
0,2800;-0,0841;0,4563;0,9366;1,045
0,3130;-0,0801;0,4563;0,9366;1,045
0,3140;-0,0881;0,4563;0,9366;1,046
0,3150;-0,0841;0,4563;0,9486;1,056
0,3350;-0,0801;0,4523;0,9486;1,054
0,3370;-0,0841;0,4643;0,9446;1,056
0,3400;-0,0921;0,4643;0,9526;1,064
0,3500;-0,0881;0,4643;0,9607;1,071
0,3590;-0,0841;0,4643;0,9607;1,070
0,3700;-0,0801;0,4563;0,9607;1,067
0,4010;-0,0761;0,4563;0,9526;1,059
0,4030;-0,0881;0,4643;0,9647;1,074
0,4100;-0,0801;0,4683;0,9526;1,065
0,4190;-0,0801;0,4643;0,9526;1,063
0,4290;-0,0801;0,4643;0,9486;1,059
