time;x;y;z;gforce
1,2460;-0,1121;0,4683;0,9486;1,064
1,2470;-0,1041;0,4643;0,9566;1,068
1,2540;-0,1081;0,4523;0,9566;1,064
1,2640;-0,1081;0,4603;0,9566;1,067
1,2740;-0,1121;0,4683;0,9486;1,064
1,2850;-0,1081;0,4603;0,9446;1,056
1,2940;-0,1081;0,4643;0,9286;1,044
1,3040;-0,1041;0,4683;0,9366;1,052
1,3140;-0,1081;0,4683;0,9486;1,063
1,3370;-0,1161;0,4643;0,9446;1,059
1,3380;-0,1161;0,4603;0,9486;1,061
1,3470;-0,1201;0,4523;0,9406;1,051
1,3630;-0,1321;0,4483;0,9446;1,054
1,3670;-0,1321;0,4363;0,9526;1,056
1,3750;-0,1241;0,4403;0,9647;1,068
1,4010;-0,1281;0,4483;0,9526;1,061
1,4190;-0,1241;0,4523;0,9607;1,069
1,4200;-0,1201;0,4523;0,9607;1,069
1,4210;-0,1241;0,4603;0,9566;1,069
1,4830;-0,1201;0,4603;0,9486;1,061
1,4840;-0,1121;0,4523;0,9526;1,061
1,4870;-0,1121;0,4563;0,9566;1,066
1,4880;-0,1161;0,4563;0,9406;1,052
1,4890;-0,1081;0,4563;0,9486;1,058
1,4910;-0,1081;0,4523;0,9607;1,067
1,4920;-0,1081;0,4643;0,9566;1,069
1,4940;-0,1001;0,4603;0,9406;1,052
1,5090;-0,0921;0,4643;0,9486;1,060
1,5140;-0,1241;0,4723;0,9286;1,049
1,5290;-0,1121;0,4563;0,9647;1,073
1,5370;-0,1161;0,4643;0,9406;1,055
1,5540;-0,1001;0,4643;0,9366;1,050
1,5560;-0,1241;0,4563;0,9286;1,042
1,5640;-0,1121;0,4643;0,9446;1,059
1,5740;-0,1121;0,4443;0,9406;1,046
1,5850;-0,1201;0,4483;0,9286;1,038
1,5940;-0,1201;0,4603;0,9406;1,054
1,6040;-0,1201;0,4523;0,9727;1,079
1,6140;-0,1201;0,4603;0,9566;1,068
1,6340;-0,1201;0,4363;0,9246;1,029
1,6350;-0,1081;0,4523;0,9607;1,067
1,6480;-0,1041;0,4403;0,9486;1,051
1,6560;-0,1081;0,4483;0,9406;1,048
1,6650;-0,1161;0,4563;0,9526;1,063
1,6850;-0,1161;0,4523;0,9566;1,065
1,6940;-0,1161;0,4403;0,9526;1,056
1,7040;-0,1121;0,4483;0,9406;1,048
1,7140;-0,1081;0,4483;0,9526;1,058
1,7310;-0,1121;0,4523;0,9486;1,057
1,7340;-0,1121;0,4563;0,9446;1,055
1,7440;-0,1201;0,4523;0,9366;1,047
1,7550;-0,1161;0,4443;0,9366;1,043
1,7640;-0,1161;0,4403;0,9486;1,052
1,7740;-0,1161;0,4443;0,9607;1,065
1,8070;-0,1201;0,4443;0,9566;1,062
1,8090;-0,1161;0,4483;0,9647;1,070
1,8120;-0,1161;0,4483;0,9526;1,059
1,8180;-0,1081;0,4483;0,9406;1,048
1,8240;-0,1081;0,4483;0,9366;1,044
1,8370;-0,1121;0,4523;0,9486;1,057
1,8440;-0,1081;0,4523;0,9406;1,049
1,8680;-0,1081;0,4483;0,9366;1,044
1,8690;-0,1121;0,4563;0,9446;1,055
1,8740;-0,1081;0,4483;0,9486;1,055
1,8850;-0,1201;0,4563;0,9446;1,056
1,8940;-0,1161;0,4483;0,9446;1,052
1,9040;-0,1121;0,4483;0,9526;1,059
1,9160;-0,1161;0,4443;0,9406;1,047
1,9340;-0,1201;0,4483;0,9366;1,045
1,9360;-0,1161;0,4523;0,9446;1,054
1,9450;-0,1241;0,4563;0,9326;1,046
1,9610;-0,1201;0,4563;0,9406;1,052
1,9650;-0,1201;0,4563;0,9486;1,060
1,9750;-0,1121;0,4563;0,9566;1,066
1,9850;-0,1241;0,4523;0,9566;1,065
1,9940;-0,1201;0,4443;0,9526;1,058
2,0040;-0,1121;0,4443;0,9607;1,064
2,0150;-0,1201;0,4483;0,9526;1,060
2,0300;-0,1201;0,4523;0,9406;1,051
2,0500;-0,1241;0,4563;0,9526;1,064
2,0540;-0,1241;0,4523;0,9446;1,055
2,0640;-0,1161;0,4563;0,9446;1,055
2,0740;-0,1121;0,4563;0,9406;1,051
2,0850;-0,1161;0,4643;0,9446;1,059
2,0940;-0,1121;0,4603;0,9486;1,060
2,1040;-0,1161;0,4563;0,9566;1,066
2,1140;-0,1201;0,4483;0,9526;1,060
2,1320;-0,1201;0,4443;0,9526;1,058
2,1530;-0,1081;0,4563;0,9687;1,076
2,1550;-0,1241;0,4563;0,9847;1,092
2,1560;-0,1241;0,4643;0,9887;1,099
2,1640;-0,1241;0,4523;0,9727;1,080
2,1740;-0,1241;0,4563;0,9727;1,082
2,1840;-0,1281;0,4603;0,9647;1,076
2,1940;-0,1321;0,4603;0,9687;1,081
2,2040;-0,1281;0,4643;0,9727;1,085
2,2150;-0,1281;0,4603;0,9647;1,076
2,2400;-0,1321;0,4683;0,9566;1,073
2,2420;-0,1481;0,4643;0,9486;1,067
2,2600;-0,1401;0,4603;0,9406;1,057
2,2620;-0,1441;0,4603;0,9526;1,068
2,2690;-0,1401;0,4603;0,9526;1,067
2,2790;-0,1361;0,4563;0,9647;1,076
2,2880;-0,1361;0,4483;0,9486;1,058
2,2940;-0,1441;0,4563;0,9446;1,059
2,3050;-0,1441;0,4603;0,9446;1,061
2,3200;-0,1401;0,4643;0,9366;1,055
2,3300;-0,1321;0,4563;0,9286;1,043
2,3550;-0,1401;0,4523;0,9246;1,039
2,3560;-0,1481;0,4403;0,9206;1,031
2,3570;-0,1481;0,4323;0,9206;1,028
2,3650;-0,1441;0,4443;0,9206;1,032
2,3760;-0,1441;0,4483;0,9206;1,034
2,3920;-0,1401;0,4563;0,9046;1,023
2,3940;-0,1241;0,4563;0,9126;1,028
2,4040;-0,1281;0,4563;0,9166;1,032
2,4140;-0,1321;0,4603;0,9206;1,038
2,4310;-0,1201;0,4683;0,9286;1,047
2,4520;-0,1281;0,4683;0,9246;1,044
2,4540;-0,1361;0,4683;0,9286;1,049
2,4550;-0,1361;0,4683;0,9366;1,056
2,4640;-0,1441;0,4723;0,9446;1,066
2,4740;-0,1601;0,4843;0,9647;1,091
2,4850;-0,1601;0,4723;0,9607;1,082
2,4940;-0,1641;0,4723;0,9566;1,079
2,5040;-0,1641;0,4643;0,9647;1,083
2,5140;-0,1801;0,4603;0,9607;1,080
2,5290;-0,1801;0,4523;0,9647;1,081
2,5520;-0,1721;0,4563;0,9687;1,084
2,5540;-0,1561;0,4643;0,9727;1,089
2,5550;-0,1481;0,4723;0,9526;1,074
2,5640;-0,1561;0,4643;0,9687;1,085
2,5740;-0,1481;0,4683;0,9727;1,090
2,5850;-0,1441;0,4643;0,9486;1,066
2,5940;-0,1401;0,4563;0,9526;1,066
2,6040;-0,1401;0,4523;0,9406;1,053
2,6150;-0,1361;0,4443;0,9326;1,042
2,6290;-0,1321;0,4443;0,9326;1,041
2,6340;-0,1201;0,4403;0,9406;1,046
2,6440;-0,1161;0,4483;0,9366;1,045
2,6540;-0,1041;0,4643;0,9286;1,043
2,6650;-0,0961;0,4603;0,9326;1,044
2,6760;-0,0881;0,4683;0,9326;1,047
2,6910;-0,0841;0,4763;0,9166;1,036
2,6940;-0,0841;0,4723;0,9246;1,042
2,7040;-0,0801;0,4763;0,9286;1,047
2,7140;-0,0640;0,4763;0,9286;1,046
2,7330;-0,0600;0,4763;0,9286;1,045
2,7340;-0,0600;0,4723;0,9326;1,047
2,7440;-0,0640;0,4643;0,9366;1,047
2,7540;-0,0640;0,4683;0,9366;1,049
2,7660;-0,0560;0,4723;0,9366;1,050
2,7740;-0,0520;0,4603;0,9406;1,049
2,7850;-0,0520;0,4683;0,9406;1,052
2,8140;-0,0440;0,4683;0,9446;1,055
2,8150;-0,0440;0,4763;0,9446;1,059
2,8240;-0,0400;0,4723;0,9406;1,053
2,8780;-0,0440;0,4723;0,9206;1,036
2,8800;-0,0440;0,4643;0,9246;1,036
2,8810;-0,0520;0,4723;0,9206;1,036
2,8830;-0,0520;0,4643;0,9286;1,040
2,8840;-0,0560;0,4603;0,9166;1,027
2,8850;-0,0480;0,4523;0,9326;1,038
2,8940;-0,0560;0,4643;0,9246;1,036
2,9060;-0,0480;0,4603;0,9126;1,023
2,9150;-0,0520;0,4763;0,9206;1,038
2,9240;-0,0440;0,4683;0,9286;1,041
2,9490;-0,0400;0,4723;0,9246;1,039
2,9520;-0,0400;0,4723;0,9366;1,050
2,9540;-0,0400;0,4683;0,9166;1,030
2,9650;-0,0280;0,4803;0,9326;1,049
2,9740;-0,0440;0,4683;0,9406;1,052
2,9840;-0,0240;0,4683;0,9286;1,040
2,9940;-0,0360;0,4563;0,9566;1,061
3,0040;-0,0360;0,4723;0,9526;1,064
3,0140;-0,0480;0,4683;0,9566;1,066
3,0310;-0,0320;0,4683;0,9607;1,069
3,0340;-0,0400;0,4443;0,9566;1,056
3,0440;-0,0480;0,4643;0,9486;1,057
3,0550;-0,0480;0,4643;0,9286;1,039
3,0650;-0,0440;0,4683;0,9286;1,041
3,0740;-0,0480;0,4803;0,9326;1,050
3,0860;-0,0480;0,4843;0,9166;1,038
3,0950;-0,0480;0,4883;0,9006;1,026
3,1050;-0,0400;0,5043;0,9046;1,036
3,1150;-0,0520;0,5003;0,9006;1,032
3,1240;-0,0480;0,5123;0,9166;1,051
3,1450;-0,0520;0,5003;0,9126;1,042
3,1460;-0,0520;0,5043;0,9366;1,065
3,1670;-0,0520;0,4963;0,9406;1,065
3,1680;-0,0560;0,4923;0,9486;1,070
3,1760;-0,0480;0,4963;0,9526;1,075
3,1940;-0,0560;0,4963;0,9566;1,079
3,2040;-0,0520;0,4883;0,9486;1,068
3,2190;-0,0600;0,5003;0,9486;1,074
3,2250;-0,0560;0,4923;0,9647;1,084
3,2350;-0,0600;0,5003;0,9647;1,088
3,2440;-0,0600;0,5204;0,9566;1,091
3,2600;-0,0560;0,5123;0,9607;1,090
3,2650;-0,0680;0,5123;0,9727;1,101
3,2820;-0,0640;0,5003;0,9526;1,078
3,2840;-0,0640;0,5003;0,9607;1,085
3,2940;-0,0600;0,4803;0,9566;1,072
3,3040;-0,0680;0,4683;0,9566;1,067
3,3140;-0,0720;0,4683;0,9727;1,082
3,3240;-0,0720;0,4723;0,9607;1,073
3,3520;-0,0761;0,4803;0,9526;1,070
3,3540;-0,0761;0,4883;0,9526;1,073
3,3550;-0,0761;0,4923;0,9486;1,071
3,3640;-0,0680;0,4923;0,9607;1,082
3,3750;-0,0600;0,4923;0,9847;1,103
3,3850;-0,0560;0,5043;1,0007;1,122
3,3950;-0,0440;0,4923;1,0127;1,127
3,4040;-0,0560;0,4923;1,0127;1,127
3,4140;-0,0560;0,4843;1,0167;1,128
3,4240;-0,0560;0,4843;1,0127;1,124
3,4510;-0,0640;0,4883;1,0127;1,126
3,4590;-0,0640;0,4763;0,9967;1,107
3,4600;-0,0640;0,4723;0,9767;1,087
3,4640;-0,0720;0,4683;0,9727;1,082
3,4740;-0,0720;0,4643;0,9687;1,077
3,4850;-0,0640;0,4643;0,9767;1,083
3,4940;-0,0720;0,4563;0,9767;1,080
3,5040;-0,0801;0,4403;0,9847;1,082
3,5150;-0,0761;0,4243;0,9727;1,064
3,5240;-0,0961;0,4123;0,9566;1,046
3,5510;-0,0881;0,4043;0,9446;1,031
3,5580;-0,0761;0,3963;0,9406;1,024
3,5590;-0,0761;0,4123;0,9446;1,033
3,5640;-0,0680;0,4163;0,9366;1,027
3,5780;-0,0640;0,4243;0,9326;1,027
3,5910;-0,0600;0,4203;0,9406;1,032
3,5940;-0,0600;0,4283;0,9406;1,035
3,6040;-0,0680;0,4243;0,9326;1,027
3,6140;-0,0761;0,4203;0,9046;1,000
3,6240;-0,0680;0,4243;0,9086;1,005
3,6630;-0,0801;0,4243;0,8966;0,995
3,6660;-0,0921;0,4203;0,9086;1,005
3,6670;-0,0961;0,4243;0,9206;1,018
