time;x;y;z;gforce
0,0080;-0,0440;0,3202;1,0207;1,071
0,0100;-0,0520;0,3122;1,0127;1,061
0,0120;-0,0480;0,3122;1,0167;1,065
0,0130;-0,0480;0,3122;1,0327;1,080
0,0390;-0,0360;0,3082;1,0287;1,074
0,0410;-0,0280;0,3122;1,0207;1,068
0,0420;-0,0280;0,3082;1,0207;1,067
0,0480;-0,0280;0,3122;1,0287;1,075
0,0760;-0,0280;0,3202;1,0127;1,062
0,0770;-0,0280;0,3082;1,0287;1,074
0,0780;-0,0240;0,3082;1,0087;1,055
0,1160;-0,0400;0,3082;1,0087;1,055
0,1180;-0,0320;0,3122;1,0167;1,064
0,1200;-0,0400;0,3002;1,0127;1,057
0,1210;-0,0280;0,2962;1,0167;1,059
0,1270;-0,0320;0,3042;1,0007;1,046
0,1530;-0,0400;0,3042;1,0207;1,066
0,1580;-0,0400;0,2962;1,0287;1,071
0,1600;-0,0280;0,2922;1,0047;1,047
0,1700;-0,0440;0,3002;1,0127;1,057
0,1760;-0,0360;0,3042;1,0207;1,066
0,1860;-0,0360;0,3002;1,0367;1,080
0,1960;-0,0360;0,2842;1,0367;1,076
0,2130;-0,0240;0,3002;1,0287;1,072
0,2200;-0,0320;0,2922;1,0247;1,066
0,2270;-0,0200;0,3002;1,0247;1,068
0,2370;-0,0200;0,2922;1,0247;1,066
0,2460;-0,0400;0,3042;1,0007;1,047
0,2560;-0,0320;0,2922;1,0087;1,051
0,2720;-0,0360;0,3042;1,0087;1,054
0,2760;-0,0320;0,3002;1,0127;1,057
0,2890;-0,0360;0,2962;1,0207;1,063
0,2960;-0,0240;0,2922;1,0167;1,058
0,3140;-0,0280;0,3042;1,0127;1,058
0,3170;-0,0200;0,3002;1,0207;1,064
0,3370;-0,0200;0,2922;1,0167;1,058
0,3380;-0,0160;0,2882;1,0047;1,045
0,3470;-0,0240;0,2962;1,0047;1,048
0,3560;-0,0240;0,3002;1,0087;1,053
0,3680;-0,0200;0,3002;1,0207;1,064
0,3760;-0,0200;0,2882;1,0287;1,068
0,3860;-0,0200;0,2962;1,0247;1,067
0,3960;-0,0360;0,3002;1,0207;1,065
0,4120;-0,0400;0,3002;1,0247;1,069
0,4200;-0,0280;0,2962;1,0287;1,071
0,4270;-0,0360;0,2962;1,0327;1,075
0,4400;-0,0200;0,2882;1,0247;1,065
0,4460;-0,0240;0,2922;1,0167;1,058
0,4560;-0,0160;0,3042;1,0207;1,065
0,4680;-0,0120;0,3042;1,0207;1,065
0,4760;-0,0160;0,3002;1,0127;1,056
0,4880;-0,0200;0,3042;1,0287;1,073
0,4960;-0,0240;0,3042;1,0247;1,069
0,5180;-0,0240;0,3082;1,0167;1,063
0,5200;-0,0200;0,2922;1,0167;1,058
0,5370;-0,0280;0,2962;1,0247;1,067
0,5460;-0,0280;0,2922;1,0247;1,066
0,5560;-0,0280;0,2962;1,0287;1,071
0,5680;-0,0160;0,2922;1,0327;1,073
