time;x;y;z;gforce
0,0050;-0,1841;0,3682;0,9246;1,012
0,0070;-0,1721;0,3482;0,9607;1,036
0,0080;-0,1441;0,3482;0,9967;1,066
0,0210;-0,1201;0,3282;1,0207;1,079
0,0570;-0,1001;0,3322;1,0327;1,089
0,0590;-0,0921;0,3402;1,0367;1,095
0,0600;-0,0961;0,3402;1,0167;1,076
0,0610;-0,0921;0,3442;1,0087;1,070
0,0730;-0,1041;0,3402;0,9887;1,051
0,0940;-0,1121;0,3522;0,9727;1,041
0,0960;-0,1321;0,3402;0,9727;1,039
0,1020;-0,1241;0,3402;0,9326;1,000
0,1080;-0,1201;0,3442;0,9847;1,050
0,1180;-0,1121;0,3522;0,9887;1,056
0,1410;-0,1041;0,3642;0,9727;1,044
0,1430;-0,1041;0,3602;0,9847;1,054
0,1700;-0,1121;0,3602;0,9927;1,062
0,1710;-0,1161;0,3562;0,9847;1,054
0,1730;-0,1201;0,3482;0,9927;1,059
0,1850;-0,1121;0,3522;0,9927;1,059
0,1890;-0,1161;0,3362;0,9847;1,047
0,1990;-0,1121;0,3322;1,0007;1,060
0,2080;-0,1201;0,3322;0,9887;1,050
0,2190;-0,1241;0,3402;0,9967;1,060
0,2500;-0,1081;0,3362;1,0007;1,061
0,2510;-0,1241;0,3322;1,0007;1,062
0,2540;-0,1121;0,3202;0,9887;1,045
0,2680;-0,1241;0,3202;0,9807;1,039
0,2690;-0,1321;0,3202;0,9807;1,040
0,2790;-0,1361;0,3402;0,9807;1,047
0,2880;-0,1321;0,3242;0,9767;1,038
0,3050;-0,1201;0,3242;0,9767;1,036
0,3080;-0,1201;0,3322;0,9887;1,050
0,3410;-0,1241;0,3242;0,9927;1,052
0,3420;-0,1161;0,3242;0,9967;1,054
0,3540;-0,1161;0,3322;1,0127;1,072
0,3580;-0,1241;0,3442;1,0167;1,081
0,3690;-0,1161;0,3482;1,0207;1,085
0,3800;-0,1201;0,3562;1,0167;1,084
0,3880;-0,1161;0,3482;1,0127;1,077
0,3990;-0,1121;0,3362;1,0207;1,080
0,4080;-0,1161;0,3322;1,0167;1,076
0,4250;-0,1161;0,3282;1,0327;1,090
0,4350;-0,1201;0,3322;1,0247;1,084
0,4380;-0,1081;0,3322;1,0287;1,086
0,4590;-0,1161;0,3402;1,0327;1,093
0,4600;-0,1161;0,3322;1,0087;1,068
0,4780;-0,1121;0,3282;1,0167;1,074
0,4800;-0,1241;0,3322;1,0047;1,065
0,4880;-0,1241;0,3162;1,0087;1,064
0,4990;-0,1201;0,3162;1,0047;1,060
0,5080;-0,1361;0,3162;1,0087;1,066
0,5180;-0,1281;0,3162;1,0047;1,061
0,5620;-0,1241;0,3162;1,0127;1,068
0,5630;-0,1241;0,3202;1,0167;1,073
0,5640;-0,1121;0,3122;1,0167;1,069
0,5720;-0,1201;0,3162;1,0007;1,056
0,5800;-0,1201;0,3202;0,9967;1,054
0,5880;-0,1241;0,3242;0,9687;1,029
0,5990;-0,1281;0,3162;0,9687;1,027
0,6080;-0,1281;0,3202;0,9687;1,028
0,6420;-0,1161;0,3082;0,9927;1,046
0,6440;-0,1161;0,3082;1,0047;1,057
0,6610;-0,1201;0,3002;0,9967;1,048
0,6630;-0,1081;0,3042;1,0087;1,059
0,6690;-0,1081;0,3082;1,0007;1,053
