time;x;y;z;gforce
1,2600;-0,0120;0,3362;1,0127;1,067
1,2700;-0,0040;0,3242;0,9927;1,044
1,3110;-0,0080;0,3282;0,9967;1,049
1,3120;-0,0160;0,3322;1,0087;1,062
1,3140;-0,0160;0,3402;1,0007;1,057
1,3150;-0,0200;0,3402;1,0087;1,065
1,3260;-0,0120;0,3362;1,0167;1,071
1,3420;-0,0120;0,3282;0,9887;1,042
1,3440;-0,0160;0,3322;0,9967;1,051
1,3510;-0,0240;0,3282;1,0127;1,065
1,3600;-0,0160;0,3282;1,0087;1,061
1,3730;-0,0240;0,3282;1,0007;1,053
1,3970;-0,0160;0,3322;0,9887;1,043
1,4120;-0,0120;0,3362;1,0047;1,060
1,4140;-0,0120;0,3402;1,0087;1,065
1,4150;-0,0120;0,3362;1,0247;1,079
1,4290;-0,0200;0,3362;1,0047;1,060
1,4320;-0,0120;0,3362;1,0167;1,071
1,4420;-0,0200;0,3322;1,0087;1,062
1,4510;-0,0120;0,3322;1,0167;1,070
1,4600;-0,0160;0,3282;1,0127;1,065
1,4700;-0,0120;0,3362;1,0127;1,067
1,4990;-0,0120;0,3242;0,9967;1,048
1,5010;-0,0120;0,3242;1,0087;1,060
1,5050;-0,0120;0,3282;1,0087;1,061
1,5230;-0,0120;0,3322;0,9967;1,051
1,5250;-0,0120;0,3362;1,0047;1,060
1,5360;-0,0080;0,3282;1,0047;1,057
1,5400;-0,0160;0,3362;0,9967;1,052
1,5510;-0,0160;0,3282;0,9967;1,049
1,5600;-0,0160;0,3242;1,0007;1,052
1,5700;-0,0120;0,3362;1,0127;1,067
1,5950;-0,0240;0,3242;1,0007;1,052
1,5970;-0,0200;0,3242;1,0087;1,060
1,6000;-0,0040;0,3162;1,0127;1,061
1,6100;-0,0120;0,3242;1,0127;1,063
1,6220;-0,0120;0,3282;1,0127;1,065
1,6320;-0,0080;0,3242;1,0007;1,052
1,6590;-0,0120;0,3162;0,9927;1,042
1,6610;-0,0040;0,3322;1,0047;1,058
1,6630;-0,0120;0,3282;1,0087;1,061
1,6730;-0,0120;0,3242;1,0127;1,063
1,7000;-0,0040;0,3322;1,0247;1,077
1,7020;0,0040;0,3242;1,0207;1,071
1,7100;0,0040;0,3322;1,0247;1,077
1,7240;-0,0000;0,3282;1,0367;1,087
1,7340;-0,0040;0,3282;1,0087;1,061
1,7400;0,0040;0,3282;1,0087;1,061
1,7500;-0,0040;0,3322;1,0047;1,058
1,7600;-0,0080;0,3322;1,0127;1,066
1,7700;-0,0040;0,3322;1,0007;1,054
1,7920;-0,0120;0,3162;1,0247;1,072
1,7940;-0,0160;0,3322;1,0367;1,089
1,8230;-0,0080;0,3282;1,0087;1,061
1,8250;-0,0240;0,3242;1,0007;1,052
1,8260;-0,0160;0,3202;0,9847;1,036
1,8350;-0,0080;0,3282;1,0007;1,053
1,8400;-0,0120;0,3402;1,0007;1,057
1,8500;-0,0000;0,3322;1,0167;1,070
1,8600;-0,0040;0,3322;0,9967;1,051
1,8700;-0,0040;0,3242;1,0087;1,060
1,8960;-0,0040;0,3202;1,0007;1,051
1,8980;-0,0120;0,3202;1,0087;1,058
1,9000;-0,0000;0,3082;1,0247;1,070
1,9100;-0,0040;0,3282;1,0007;1,053
1,9200;-0,0000;0,3162;1,0007;1,049
1,9330;-0,0040;0,3202;1,0047;1,054
1,9400;-0,0000;0,3322;1,0127;1,066
1,9500;-0,0040;0,3282;1,0127;1,065
1,9600;-0,0120;0,3242;1,0207;1,071
1,9700;0,0040;0,3242;1,0087;1,060
1,9950;-0,0000;0,3202;1,0087;1,058
1,9980;-0,0040;0,3242;1,0087;1,060
2,0230;-0,0040;0,3202;1,0087;1,058
2,0240;-0,0040;0,3282;1,0047;1,057
2,0360;-0,0000;0,3282;0,9927;1,046
2,0400;-0,0000;0,3242;1,0007;1,052
2,0530;-0,0040;0,3242;1,0047;1,056
2,0600;-0,0000;0,3282;0,9927;1,046
2,0700;-0,0040;0,3202;1,0047;1,054
2,1010;0,0120;0,3162;1,0007;1,050
2,1030;0,0040;0,3162;1,0047;1,053
2,1040;0,0040;0,3242;0,9927;1,044
2,1100;-0,0000;0,3242;1,0007;1,052
2,1210;-0,0000;0,3242;0,9927;1,044
2,1340;0,0040;0,3242;0,9967;1,048
2,1400;0,0040;0,3202;1,0127;1,062
2,1510;-0,0000;0,3202;1,0047;1,054
2,1600;-0,0040;0,3242;1,0127;1,063
2,1700;-0,0000;0,3282;1,0207;1,072
2,1960;0,0040;0,3162;1,0207;1,069
2,2030;-0,0000;0,3202;1,0167;1,066
2,2040;0,0040;0,3242;1,0087;1,060
2,2260;0,0040;0,3202;1,0127;1,062
2,2270;0,0160;0,3162;1,0007;1,050
2,2390;0,0040;0,3202;0,9927;1,043
2,2400;0,0040;0,3242;1,0007;1,052
2,2530;0,0080;0,3202;1,0007;1,051
2,2670;0,0120;0,3082;0,9967;1,043
2,2810;0,0120;0,3202;1,0127;1,062
2,2820;0,0120;0,3242;1,0087;1,060
2,2940;0,0040;0,3242;1,0207;1,071
2,3130;-0,0000;0,3282;1,0167;1,068
2,3150;0,0040;0,3202;1,0047;1,054
2,3300;0,0160;0,3242;1,0047;1,056
2,3320;0,0080;0,3242;1,0087;1,060
2,3470;0,0040;0,3202;0,9967;1,047
2,3570;0,0080;0,3202;0,9967;1,047
2,3600;-0,0080;0,3242;1,0127;1,063
2,3700;-0,0000;0,3242;1,0087;1,060
2,4000;-0,0080;0,3202;1,0167;1,066
2,4010;-0,0120;0,3242;1,0127;1,063
2,4020;-0,0000;0,3282;1,0047;1,057
2,4100;-0,0000;0,3202;1,0047;1,054
2,4260;0,0040;0,3202;0,9887;1,039
2,4380;0,0040;0,3162;1,0087;1,057
2,4400;0,0080;0,3202;1,0007;1,051
2,4510;0,0040;0,3242;1,0087;1,060
2,4600;-0,0000;0,3162;1,0047;1,053
2,4700;-0,0000;0,3202;1,0087;1,058
2,4850;-0,0000;0,3282;1,0047;1,057
2,4900;0,0040;0,3242;1,0127;1,063
2,5020;-0,0040;0,3162;1,0207;1,069
2,5100;0,0040;0,3242;1,0167;1,067
2,5400;-0,0000;0,3282;1,0167;1,068
