time;x;y;z;gforce
0,0050;-0,0120;0,1681;1,0047;1,019
0,0070;-0,0160;0,1281;1,0287;1,037
0,0190;-0,0160;0,1361;1,0407;1,050
0,0220;-0,0200;0,1521;1,0327;1,044
0,0490;-0,0160;0,1641;1,0447;1,058
0,0550;-0,0160;0,1521;1,0487;1,060
0,0560;-0,0200;0,1481;1,0527;1,063
0,0740;-0,0280;0,1521;1,0647;1,076
0,0750;-0,0200;0,1481;1,0487;1,059
0,0900;-0,0080;0,1521;1,0647;1,076
0,1080;-0,0200;0,1441;1,0287;1,039
0,1090;-0,0120;0,1441;1,0647;1,074
0,1260;-0,0080;0,1561;1,0727;1,084
0,1290;-0,0120;0,1481;1,0767;1,087
0,1590;-0,0160;0,1481;1,0687;1,079
0,1620;-0,0040;0,1441;1,0647;1,074
0,1630;-0,0080;0,1441;1,0567;1,067
0,1640;-0,0080;0,1441;1,0447;1,055
0,1800;-0,0120;0,1441;1,0407;1,051
0,1820;-0,0080;0,1521;1,0447;1,056
0,1920;-0,0120;0,1521;1,0567;1,068
0,2080;-0,0120;0,1481;1,0647;1,075
0,2200;-0,0000;0,1401;1,0687;1,078
0,2280;-0,0000;0,1321;1,0567;1,065
0,2400;-0,0000;0,1241;1,0567;1,064
0,2420;-0,0000;0,1241;1,0527;1,060
0,2520;0,0080;0,1121;1,0407;1,047
0,2650;0,0040;0,1241;1,0327;1,040
0,2720;0,0040;0,1481;1,0367;1,047
0,2820;-0,0200;0,1681;1,0527;1,066
0,2920;-0,0120;0,1601;1,0567;1,069
0,3020;-0,0120;0,1441;1,0567;1,067
0,3240;-0,0080;0,1321;1,0447;1,053
0,3250;-0,0000;0,1321;1,0447;1,053
0,3340;-0,0080;0,1321;1,0487;1,057
0,3420;-0,0000;0,1281;1,0487;1,057
0,3570;-0,0120;0,1281;1,0527;1,061
0,3650;-0,0080;0,1281;1,0647;1,072
0,3720;-0,0080;0,1161;1,0487;1,055
0,3820;-0,0200;0,1001;1,0767;1,082
0,3920;0,0040;0,1241;1,0847;1,092
